country,learners,avg_steps_completed,median_steps_completed,dropout_rate
PK,300,7.006666666666667,1,0.49666666666666665
LK,66,6.818181818181818,1,0.3787878787878788
VN,75,6.773333333333333,1,0.4666666666666667
BN,2,6.5,6.5,0.5
GN,2,6.5,6.5,0.5
MG,2,6.5,6.5,0.5
MA,114,5.754385964912281,0,0.5701754385964912
JM,22,5.636363636363637,1.5,0.45454545454545453
KW,18,5.5,0.5,0.5555555555555556
SB,5,5.4,6,0.4
MN,8,5.375,0.5,0.5
DZ,99,5.2727272727272725,0,0.5757575757575758
EC,36,5.222222222222222,2,0.4166666666666667
BZ,1,5,5,0
SY,22,4.909090909090909,0.5,0.5454545454545454
SO,52,4.826923076923077,1,0.5576923076923077
KY,3,4.333333333333333,3,0.3333333333333333
AM,18,4.166666666666667,1,0.4444444444444444
NI,2,4,4,0.5
AG,2,3.5,3.5,0.5
TN,51,2.843137254901961,0,0.6862745098039216
BT,4,2.5,1,0.5
NE,2,2.5,2.5,0.5
XK,5,2.4,3,0.4
GA,1,2,2,0
LA,1,2,2,0
MC,1,2,2,0
SN,3,2,1,0.3333333333333333
LC,5,1.8,0,0.6
BF,3,1.3333333333333333,1,0.6666666666666666
BJ,4,0.75,0.5,0.5
MV,3,0.6666666666666666,0,0.6666666666666666
AS,1,0,0,1
CG,1,0,0,1
ML,2,0,0,1
RE,1,0,0,1
TD,1,0,0,1
VG,1,0,0,1
VU,2,0,0,1
